codigo,nome,cientifico,grupo,Alfa-tocoferol (Vitamina E) (mg),Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g),Cinzas (g),Cobre (mg),Colesterol (g),Colesterol (mg),Cálcio (mg),Energia (kJ),Energia (kcal),Equivalente de folato (mcg),Ferro (mg),Fibra alimentar (g),Fósforo (mg),Gordura de adição (g),Lipídios (g),Magnésio (mg),Niacina (mg),Potássio (mg),Proteína (g),Proteína animal (g),Proteína vegetal (g),Riboflavina (mg),Sal de adição (g),Selênio (mcg),Sódio (mg),Tiamina (mg),Umidade (g),Vitamina A (RAE) (mcg),Vitamina A (RE) (mcg),Vitamina B12 (mcg),Vitamina B6 (mg),Vitamina C (mg),Vitamina D (mcg),Zinco (mg),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos saturados (g),Ácidos graxos trans (g),Álcool (g)
A0105N,"Papa de carne bovina moída (acém), fubá e couve, c/ caldo de frango, c/ cebola e azeite de oliva, s/ sal,",,Alimentos para fins especiais,0.22,0.00,7.03,7.94,0.63,0.04,,37.4,26.7,537,128,22.4,1.35,0.91,67.2,,6.10,10.7,0.71,180,10.8,,,0.03,0.00,0.37,149,0.03,74.5,23.5,47.0,0.94,0.03,3.67,0.97,2.83,2.84,0.47,2.28,0.11,0.00
C0384F,"Carne, boi, flanco, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal,",,Carnes e derivados,0.47,0.00,0.62,0.76,0.86,0.08,,58.9,4.19,807,192,3.10,2.65,0.14,176,,8.59,13.8,2.20,251,28.1,,,0.00,0.00,0.03,39.7,0.00,61.7,1.67,1.67,2.65,0.01,0.45,0.00,5.29,2.94,0.82,3.89,0.16,0.00
C0363F,"Carne, boi, acém moída, cozida, c/ cenoura, abobrinha, milho, ervilha, c/ óleo, cebola e alho, s/ sal,",,Carnes e derivados,0.34,0.00,4.09,5.54,0.83,0.07,,56.7,8.64,618,150,16.9,1.74,1.45,112,,7.50,17.0,1.58,224,15.8,,,0.18,0.00,0.25,98.0,0.02,70.3,39.9,79.8,1.43,0.02,1.49,1.53,4.68,2.89,1.01,2.90,0.14,0.00
C0596B,"Salada, alface americana, c/ molho vinagrete (tomate, cebola, salsa, vinagre e azeite de oliva), s/ sal,",,Vegetais e derivados,0.44,0.00,1.14,2.33,0.31,0.02,,0.00,14.0,103,25,14.6,0.28,1.19,16.7,,1.78,5.40,0.01,123,0.50,,,0.00,0.00,0.19,5.40,0.03,95.0,137,274,0.00,0.04,9.01,0.00,0.26,1.18,0.21,0.37,0.00,0.00
C0199T,"Feijão tropeiro mineiro, c/ sal, (feijão roxo, farinha de mandioca, ovo cozido, cebola, toucinho defumado (bacon), linguiça de porco, c/ óleo de soja, c/ sal),",,Leguminosas e derivados,,,15.9,19.5,2.23,0.22,,67.6,41.1,722,172,,2.15,3.56,198,,6.76,35.9,1.43,347,10.1,,,,0.45,,543,,61.4,,,,,,,1.44,2.85,1.52,2.15,,0.00
C0409A,"Milho, cuscuz, cozido, c/ sal,",,Cereais e derivados,0.07,0.60,22.7,24.7,0.76,,0.00,,1.54,475,112,65.7,1.18,2.05,23.2,,0.68,2.72,,10.9,2.16,,,,,1.18,247,,71.7,4.61,9.22,0.00,0.06,,0.00,0.20,0.20,0.30,0.20,,0.00
C0035U,"Mix de castanhas, c/ sal , (caju, Brasil, amendoim, c/ sal),",,Sementes e Oleaginosas,4.14,0.00,11.7,18.7,2.74,1.34,,0.00,76.8,2643,639,62.4,3.36,7.00,495,,54.9,246,1.49,607,20.9,,,,,1696,167,0.20,2.73,,,0.00,0.35,,0.00,3.82,28.3,14.6,11.1,,0.00
C0197F,"Peru, congelado, assado, s/ óleo, s/ sal,",,Carnes e derivados,0.09,,0.57,0.57,2.23,0.03,,91.2,13.8,665,158,9.37,0.59,0.00,197,,5.68,11.5,6.23,175,26.2,,,,,,627,0.06,65.3,,,0.98,,0.00,0.44,1.21,1.20,1.40,1.60,0.02,0.00
C0170A,"Torrada, trigo, integral, Bauducco,",,Cereais e derivados,1.08,,70.3,71.0,2.00,0.21,,,187,1681,398,63.9,4.25,0.70,275,,7.00,86.1,,232,13.0,,,0.06,,,721,0.11,7.00,0.00,0.00,0.00,0.21,,0.00,2.26,1.53,2.11,1.34,0.54,0.00
C0876B,"Batata baroa (mandioquinha, batata salsa), s/ casca, cozida, salsa, s/ óleo, c/ pimenta-do-reino, c/ sal,",,Vegetais e derivados,0.11,0.00,17.0,18.8,1.56,0.15,,0.00,11.9,324,76,6.87,0.42,1.74,29.2,,0.16,7.51,1.96,255,0.84,,,0.00,0.47,0.32,321,0.06,78.7,5.29,10.6,0.00,0.00,16.9,0.00,0.38,0.04,0.03,0.04,0.00,0.00
C0121K,"Petit gateau (chocolate amargo, farinha de trigo, ovos, manteiga, c/ açúcar), sorvete, c/ calda de chocolate,",,Produtos açucarados,1.09,,29.1,35.1,1.14,0.05,,125,71.7,1223,293,11.9,1.92,5.97,136,,19.5,41.1,0.32,198,5.77,,,0.12,,3.63,64.0,0.05,38.5,92.3,92.2,0.34,0.02,0.37,0.42,0.85,6.10,0.90,11.6,0.13,0.00
C0082G,"Vitamina, leite de vaca integral c/ banana, mamão e maçã, s/ açúcar,",,Leite e derivados,0.11,0.00,9.80,10.5,0.57,0.23,,6.45,60.3,268,64,2.70,0.13,0.75,49.0,,1.73,10.8,0.79,155,1.85,,,0.13,0.00,2.56,33.7,0.03,85.3,27.5,30.0,0.19,0.02,12.2,0.00,0.23,0.49,0.07,1.06,,0.00
C0032E,"Peixe, água doce, tucunaré, filé, cru, Cichla ocellaris spp.,",,Pescados e Frutos do mar,0.47,0.00,0.57,0.57,1.19,0.10,,46.9,19.2,401,95,12.0,0.27,0.00,167,,1.76,25.6,1.02,288,19.2,,,0.06,0.00,25.0,56.6,,77.3,,,4.03,,0.82,1.26,0.82,0.40,0.40,0.60,0.01,0.00
C0206A,"Milho, pipoca, p/ micro-ondas,  crua (média de diferentes sabores),",,Cereais e derivados,10.0,,49.7,56.8,2.50,0.15,,0.00,3.59,1726,412,22.5,1.78,7.09,178,,16.2,71.0,1.07,163,13.3,,,0.05,,,610,0.12,11.2,2.97,,0.00,0.10,0.27,0.00,2.79,3.64,8.60,2.53,,0.00
C0018G,"Iogurte, integral, polpa de fruta, morango,",,Leite e derivados,0.08,,18.0,18.0,0.68,0.03,,5.95,151,418,99,8.91,0.02,0.00,110,,1.85,12.1,,78.6,2.54,,,0.18,0.00,,56.6,0.05,76.9,,,0.46,0.03,,0.00,0.46,0.56,0.08,1.11,,0.00
C0784B,"Farofa, toucinho defumado (bacon), c/ sal, (farinha de mandioca (aipim, macaxeira), toucinho defumado (bacon), azeitona, salsa, c/ óleo, cebola e alho, c/ sal),",,Vegetais e derivados,0.70,0.00,46.4,51.1,1.31,0.07,,23.3,51.2,1880,450,26.7,1.28,4.11,52.1,,24.6,26.3,1.32,258,8.06,,,,0.32,0.93,260,0.01,15.0,2.87,5.75,0.45,0.47,0.88,0.00,0.48,9.03,7.83,6.48,0.18,0.00
C0219F,"Tender, porco, bolinha, c/ temperos, c/ sal, Seara,",,Carnes e derivados,0.24,,0.00,0.00,4.00,,,50.0,5.73,508,121,3.27,0.77,,185,,5.00,18.0,4.25,258,19.0,,,0.21,,,1085,0.56,72.0,0.00,0.00,0.57,0.38,0.00,0.82,2.10,2.30,0.57,1.67,,0.00
C0055H,"Bebida, chá, mate, infusão 5%, c/ açúcar,",,Bebidas,0.00,6.00,6.50,6.50,0.03,0.00,,0.00,3.36,113,27,0.93,0.13,0.00,0.76,,0.05,3.54,,15.6,0.02,,,0.00,0.00,0.00,0.75,0.84,93.4,0.00,0.00,0.00,,,0.00,0.01,0.00,0.00,0.00,0.00,0.00
C1119B,"Flor de abóbora, à milanesa, s/ sal, (flor de abóbora, farinha de trigo, farinha de rosca, ovo, frito (c/ óleo de soja), s/ sal),",,Vegetais e derivados,0.74,0.00,17.3,18.0,0.78,0.07,39.8,,48.5,703,168,104,2.11,0.71,96.8,,8.86,33.8,0.80,224,4.45,,,0.13,,7.13,56.8,0.09,67.9,114,17.5,0.09,0.01,25.2,0.21,0.40,2.23,4.75,1.61,0.05,0.00
C0879B,"Batata baroa (mandioquinha, batata salsa), s/ casca, cozida, salsa, c/ azeite de oliva, c/ pimenta-do-reino, s/ sal,",,Vegetais e derivados,0.11,0.00,17.0,18.8,0.77,0.15,,0.00,11.7,324,76,6.87,0.42,1.74,29.2,,0.16,7.50,1.96,255,0.84,,,0.00,0.00,0.32,2.08,0.06,79.5,5.29,10.6,0.00,0.00,16.9,0.00,0.37,0.04,0.03,0.04,0.00,0.00
C0988F,"Carne, porco, lombo, assada/grelhada, c/ óleo de soja, c/ sal,",,Carnes e derivados,0.47,0.45,0.00,0.00,1.75,0.04,,98.5,18.8,954,227,0.00,0.44,0.00,227,,10.1,17.3,11.9,297,34.1,,,0.06,0.00,0.00,216,0.71,54.0,,,0.77,0.10,0.00,0.35,1.68,3.71,3.05,3.12,0.04,0.00
C0502E,"Peixe, água doce, Arraia (Raia), filé, ensopado (c/ tomate e pimentão), c/ óleo de soja, cebola e alho, c/ sal, Paratrygon eiereba e Potamotrygon motoro,",,Pescados e frutos do mar,0.24,0.45,1.33,1.62,2.33,0.06,8.01,,151,365,86,3.72,0.42,0.29,178,,1.39,20.9,1.55,227,17.0,,,0.04,0.00,0.04,237,0.03,77.7,6.77,8.33,,0.08,8.67,0.51,0.88,0.37,0.58,0.34,0.01,0.00
C0845A,"Sanduíche, pão sírio, c/ filé mignon grelhado, rúcula, pimentão vermelho e molho de iogurte s/ óleo, s/ sal,",,Cereais e derivados,0.39,,21.4,22.7,1.35,0.13,,33.1,59.5,774,183,75.4,2.06,1.27,147,,4.23,23.3,3.11,222,14.3,,,0.17,,10.3,225,0.25,57.4,27.2,54.4,1.59,0.18,21.3,0.04,1.70,1.68,0.37,1.72,0.05,0.00
C0049B,"Batata, chips, frita, c/ sal, Solanum tuberosum L.,",,Vegetais e derivados,11.0,0.00,47.5,51.5,3.61,0.12,,0.00,11.5,2257,542,29.5,0.71,4.00,99.2,,35.8,24.9,2.69,1042,5.44,,,,,2.45,624,0.20,3.63,0.00,0.00,0.00,0.13,,0.00,0.32,13.9,4.61,15.1,0.16,0.00
C0344F,"Carne, boi, contra-filé, s/ gordura, grelhada, c/ óleo e cebola, s/ sal,",,Carnes e derivados,0.34,0.00,1.19,1.31,1.24,0.10,,96.8,5.55,803,191,0.81,2.25,0.12,230,,5.42,20.7,4.69,377,34.2,,,0.16,0.00,0.00,54.7,0.00,57.8,0.00,0.00,0.94,0.16,0.24,0.11,4.89,2.07,0.79,2.11,0.04,0.00
C0850F,"Carne, cabrito, cozida, assada, s/ óleo, c/ sal,",,Carnes e derivados,0.34,0.00,0.00,0.00,3.46,0.30,,74.7,17.0,570,135,4.98,3.71,0.00,200,,3.02,0.00,3.93,403,27.0,,,0.61,0.45,11.7,265,0.09,66.5,,,1.18,0.00,0.00,0.00,5.25,1.35,0.23,0.93,0.00,0.00
C0270A,"Sanduíche, misto quente, pão francês, c/ presunto, queijo muçarela, c/ margarina,",,Cereais e derivados,0.59,,25.6,26.6,2.71,0.09,,29.3,203,1187,286,65.7,2.05,1.09,235,,14.0,21.2,0.97,164,13.8,,,0.35,,4.84,785,0.31,42.9,0.85,0.85,0.70,0.26,0.82,0.13,1.70,3.72,2.29,5.44,1.15,0.00
C0083E,"Camarão à baiana, s/ sal, (camarão, tomate, leite de coco, pimenta dedo-de-moça, suco de limão, c/ óleo de soja, cebola e alho, c/ azeite de dendê, s/ sal),",,Pescados e Frutos do mar,,0.00,2.79,3.12,0.98,0.07,,116,42.7,403,97,,1.42,0.39,244,,5.97,14.9,0.31,139,7.94,,,,,,84.8,,82.0,,,,,4.07,,0.47,0.90,1.52,1.64,,0.00
C0057E,"Peixe, água salgada, pescada, filé, escabeche (molho com vinagre, óleo e temperos), s/ sal,",,Pescados e Frutos do mar,,0.00,4.24,5.02,0.68,0.36,,39.9,20.1,575,138,12.4,1.47,0.78,105,,8.02,18.1,1.10,208,11.8,,,0.03,0.00,,51.3,,74.5,,,0.70,,6.89,,0.29,2.71,3.95,1.20,,0.00
C0266C,"Banana madura, s/ casca, cozida, s/ óleo, s/ sal, Musa sp.,",,Frutas e derivados,,0.00,2.25,8.18,1.94,1.57,,0.00,255,132,32,,0.32,5.92,0.00,,0.70,12.1,,583,1.23,,,,0.00,,131,,88.0,,,0.00,,,,0.29,,,,0.00,0.00
C0976B,"Salada, cenoura cozida, c/ molho vinagrete (tomate, cebola, salsa, vinagre, azeite de oliva), c/ sal,",,Vegetais e derivados,1.17,0.00,2.37,4.43,0.38,0.01,,0.00,17.3,103,25,8.90,0.21,2.06,17.7,,0.99,9.29,1.58,225,0.57,,,,0.32,0.28,132,0.05,93.3,302,604,0.00,0.04,0.92,0.00,0.19,0.61,0.16,0.12,0.00,0.00
C0007R,"Chantily, em pó (média de diferente marcas),",,Alimentos industrializados,0.75,,75.3,75.3,1.10,,,0.00,2.05,2059,490,0.00,0.27,1.00,294,,19.5,1.02,0.00,684,3.30,,,0.00,,,126,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.07,5.81,0.24,11.3,3.28,0.00
C1054B,"Purê, inhame, c/ manteiga, leite, c/ sal,",,Vegetais e derivados,1.52,0.00,16.6,18.0,1.37,0.13,,10.9,23.7,492,117,7.62,0.03,1.36,58.8,,4.34,15.6,0.14,210,2.26,,,0.02,0.47,1.22,194,0.05,74.0,53.4,56.2,0.04,0.06,1.71,0.00,0.34,1.09,0.12,2.58,0.13,0.00
C0025T,"Ervilha, em vagem, crua, Pisum sativum L.,",,Leguminosas e derivados,0.92,0.00,4.51,14.2,1.01,0.20,,,24.4,298,72,87.5,1.44,9.72,151,,0.47,41.8,1.16,310,7.45,,,0.07,0.00,,,0.27,76.8,127,,0.00,0.06,12.4,0.00,1.23,0.10,0.30,,,
C0075N,"Queijo, ricota, light,",,Alimentos para fins especiais,0.07,,5.08,5.08,1.15,0.03,,31.0,272,573,137,13.0,0.44,0.00,183,,7.91,15.0,0.02,125,11.4,,,0.08,,16.7,99.0,0.19,74.5,107,,0.82,0.29,0.00,0.10,1.34,2.31,0.26,4.93,,0.00
C1137B,"Cogumelo, cru (média de diferentes tipos),",,Vegetais e derivados,,0.00,2.60,5.65,0.74,0.08,0.00,,0.93,117,28,9.43,0.61,3.05,90.6,,0.36,9.68,23.5,259,2.06,,,0.54,0.00,4.78,0.85,0.49,91.2,,,,0.18,0.74,0.16,0.65,0.00,0.06,0.02,0.00,0.00
C0889F,"Carne, boi, bucho, cozida, s/ óleo, c/ sal,",,Carnes e derivados,0.06,0.00,0.00,0.00,0.77,0.05,,244,13.3,532,127,2.99,0.58,0.00,62.3,,4.48,7.38,2.17,69.5,21.5,,,,0.45,40.1,217,,73.2,,,0.48,,0.00,0.00,2.48,1.39,0.10,2.39,0.14,0.00
C0760F,"Carne, porco, lombo, grelhada/assada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal, Sus ssp,",,Carnes e derivados,0.45,0.00,3.22,3.27,1.40,0.03,,86.2,48.1,835,199,6.05,0.47,0.05,217,,7.44,18.0,10.4,290,29.7,,,0.12,0.00,9.44,88.4,0.61,58.3,0.24,0.48,0.55,0.09,0.00,0.38,1.54,2.89,1.13,3.10,0.02,0.00
C0103H,"Bebida, café, descafeinado, infusão 8% - médio, s/ açúcar,",,Bebidas,0.00,0.00,0.48,1.17,0.00,0.01,,0.00,2.17,26,6,0.00,0.07,0.69,2.68,,0.26,4.01,0.17,33.8,0.17,,,0.00,0.00,,1.24,0.00,98.4,0.00,0.00,0.00,,,0.00,0.01,0.02,0.09,0.09,0.00,0.00
C0356B,"Cebola, branca, assada, s/ óleo, s/ sal, Allium cepa L.,",,Vegetais e derivados,0.04,0.00,10.2,13.1,0.77,0.07,,0.00,20.0,245,58,20.1,0.30,2.90,56.2,,0.18,16.9,,261,2.50,,,,0.00,0.07,0.88,0.06,83.5,0.00,0.00,0.00,0.19,5.53,0.00,0.24,0.02,0.03,0.08,0.00,0.00
C1077B,"Gengibre, em pó, Zingiber officinale,",,Vegetais e derivados,0.00,0.00,57.5,71.6,5.22,0.48,,0.00,114,1400,332,13.0,19.8,14.1,168,,4.24,214,9.62,1320,8.98,,,0.17,0.00,55.8,27.0,0.05,9.94,2.00,,0.00,0.63,0.70,0.00,3.64,0.48,0.93,2.60,0.00,0.00
C0338A,"Sanduíche, pão forma integral, c/ peito de peru defumado, queijo minas, c/ margarina,",,Cereais e derivados,1.33,,19.4,21.6,2.25,0.08,,32.2,208,1027,246,41.4,1.70,2.20,208,,12.3,34.5,0.00,174,13.3,,,0.14,,4.77,528,0.04,50.6,157,0.10,0.41,0.06,0.00,0.53,1.41,3.41,2.49,4.57,1.08,0.00
C0008F,"Apresuntado, metro, cozido, Seara,",,Carnes e derivados,0.05,,5.00,5.00,2.80,0.03,,28.2,24.7,542,129,6.16,0.96,,246,,5.00,16.7,0.76,295,16.0,,,0.04,,,1033,0.68,71.2,,,0.37,,,0.41,1.81,1.93,0.85,1.44,,0.00
C1011A,"Bolo, chocolate, c/ recheio e cobertura, chocolate branco, caseiro, (bolo - farinha de trigo, achocolatado, leite, açúcar, manteiga, ovo e fermento em pó, recheio e cobertura - leite condensado, creme de leite e chocolate branco),",,Cereais e derivados,0.75,,52.3,52.9,0.92,0.06,,109,104,1784,426,53.3,1.70,0.58,91.8,,21.0,17.9,0.52,160,6.59,,,0.16,0.00,5.19,73.2,0.07,18.6,196,198,0.25,0.10,0.00,0.45,0.74,4.69,0.92,11.6,0.46,0.00
C0245A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer),",,Cereais e derivados,0.19,,34.0,35.5,2.76,0.08,,39.2,52.6,1068,254,71.3,3.17,1.53,173,,7.82,33.4,2.66,295,11.1,,,0.05,,2.96,726,0.12,42.8,0.00,0.00,1.30,0.08,0.00,0.00,2.50,2.73,1.07,2.94,0.21,0.00
C0222E,"Peixe, água salgada, filé/posta, cozido, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal (média de várias espécies),",,Pescados e Frutos do mar,0.87,0.00,0.48,1.00,1.56,0.11,,52.5,56.5,443,105,13.0,0.53,0.51,206,,3.53,27.3,3.38,349,17.7,,,0.05,0.45,33.0,179,0.10,76.3,25.2,38.8,2.57,0.01,4.07,1.91,0.54,1.18,1.23,0.94,,0.00
C0825A,"Croissant, assado, c/ recheio, de brigadeiro,",,Cereais e derivados,0.43,,53.8,55.1,1.45,0.09,,72.4,76.2,1669,398,108,3.14,1.34,156,,16.4,22.5,0.66,176,8.15,,,0.13,,4.98,299,0.14,18.9,159,161,0.18,0.00,0.55,0.20,0.77,4.24,0.65,9.31,0.49,0.00
C0658F,"Carne, boi, seca, dessalgada, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus,",,Carnes e derivados,0.49,0.00,0.83,1.34,4.12,0.05,,80.1,12.5,1078,259,51.3,1.60,0.51,73.4,,18.6,12.7,1.86,130,21.9,,,0.06,,5.97,1635,0.02,54.7,13.7,27.3,0.33,0.01,4.07,0.16,6.21,6.88,0.94,8.56,0.74,0.00
C0805B,"Farofa,  c/ toucinho defumado (bacon), c/ frutas secas e nozes, c/ sal, (farinha de mandioca (aipim, macaxeira), toucinho defumado (bacon), nozes, tâmara e damasco seco, cereja em calda, c/ sal,",,Vegetais e derivados,0.48,0.00,64.9,71.0,1.59,0.11,,6.56,67.4,1568,372,30.8,1.38,6.12,70.0,,9.32,43.4,0.74,397,4.21,,,0.01,0.47,1.75,206,0.03,13.9,0.97,0.19,0.13,0.53,0.44,0.00,0.53,2.63,4.31,1.94,0.04,0.00
C0017N,"Gelatina, framboesa, em pó, preparada, diet, Oetker,",,Alimentos para fins especiais,0.00,0.00,1.14,1.14,0.06,,,0.00,1.59,47,11,0.00,0.01,,36.1,,0.04,0.53,0.00,0.53,1.55,,,0.00,0.00,,25.5,0.00,97.2,0.00,0.00,0.00,0.00,0.00,0.00,25.5,0.00,0.00,0.00,,0.00
C0646A,"Rondele, c/ camarão refogado, s/ molho, caseiro, c/ sal, (massa com farinha de trigo, camarão refogado (c/ óleo, cebola e alho), c/ sal),",,Cereais e derivados,0.53,0.00,14.3,15.9,1.38,0.09,,28.7,18.3,423,100,44.8,1.08,1.58,77.0,,2.20,11.2,1.59,125,5.02,,,0.01,0.47,6.47,366,0.05,75.5,24.9,44.1,0.15,0.02,7.51,0.04,0.37,0.75,0.74,0.51,0.01,0.00
C0045A,"Biscoito, doce, recheado, chocolate, recheio sabor chocolate, Danone,",,Cereais e derivados,2.81,,66.1,69.6,1.10,0.00,,,27.2,2049,489,103,2.27,3.49,139,,21.8,48.0,2.52,232,5.40,,,0.39,,,239,0.32,2.15,1.14,,0.00,0.46,,0.00,0.99,7.35,1.89,6.90,4.69,0.00
C0374A,"Sanduíche, peito de frango grelhado (c/ pão de hambúrguer), c/ alface, tomate, c/ maionese,",,Cereais e derivados,0.46,,22.0,23.3,1.56,0.02,,43.2,6.10,844,200,52.1,1.59,1.38,141,,5.75,16.2,8.34,201,14.6,,,0.03,,2.17,265,0.08,54.8,15.5,29.5,0.16,0.06,2.58,0.01,1.09,1.38,2.19,1.19,0.06,0.00
C0076E,"Peixe, sardinha, filé, micro-ondas/10 min, s/ óleo, s/ sal, Sardinella brasiliensis,",,Pescados e Frutos do mar,1.07,0.00,0.00,0.00,3.67,0.12,,48.8,403,974,231,1.14,0.94,0.00,526,,6.02,32.5,5.94,385,44.2,,,,0.00,,50.3,0.05,46.1,,,4.99,,0.00,2.52,1.38,1.47,2.89,1.23,0.04,0.00
C0321A,"Sanduíche, pão forma integral, c/ queijo prato, c/ maionese,",,Cereais e derivados,0.19,,33.6,35.0,2.61,0.10,,35.4,352,1300,309,86.4,2.53,1.45,261,,12.0,24.0,0.00,113,16.1,,,0.48,,4.06,604,0.23,34.3,1.13,1.13,1.09,0.35,0.00,0.02,2.06,2.99,0.49,6.71,0.52,0.00
C0909F,"Carne, frango, pé, cozido, s/ óleo, c/ sal, Gallus gallus,",,Carnes e derivados,0.27,0.00,0.20,0.20,0.45,0.10,,83.6,87.7,869,209,85.6,9.87,0.00,82.6,,14.5,4.98,0.40,30.9,19.3,,,0.20,0.45,3.58,246,0.06,65.5,29.9,29.9,0.00,0.01,0.00,0.20,0.69,5.48,2.97,3.90,0.00,0.00
C0157A,"Pão, trigo/centeio, preto, forma,",,Cereais e derivados,2.05,,43.7,49.0,2.24,0.14,,,129,1056,250,44.1,2.93,5.38,189,,2.70,59.3,,159,10.0,,,0.04,,,496,0.08,36.0,0.00,0.00,0.00,0.14,,0.00,1.56,0.59,0.81,0.52,0.21,0.00
C0125A,"Milho, fubá, cru (média de diferentes marcas), Zea Mays L.,",,Cereais e derivados,0.22,0.00,75.3,79.7,0.53,0.08,,0.00,3.63,1511,357,302,5.05,4.38,108,,2.03,62.2,0.75,169,7.06,,,,0.00,3.80,,0.26,10.7,15.7,31.3,0.00,,,0.00,1.22,0.95,1.41,0.46,,0.00
C0391E,"Caldeirada de peixe e batata, s/ sal, (peixe, água salgada, cação, batata, tomate, pimentão, coentro, suco de limão, c/ pimenta-do-reino e pimenta vermelha,c/ caldo de peixe, c/ óleo, cebola e alho, s/ sal),",,Pescados e Frutos do mar,0.55,0.00,4.03,4.70,0.75,0.10,,15.4,10.6,281,67,5.47,0.27,0.67,97.6,,1.42,12.7,0.09,210,9.11,,,0.01,0.00,14.0,102,0.04,84.0,20.4,24.4,0.42,0.04,9.62,0.05,0.25,0.30,0.70,0.21,0.00,0.00
C0312A,"Sanduíche, pão francês, c/ mortadela,",,Cereais e derivados,0.12,,42.9,44.6,2.43,0.13,,31.0,28.1,1214,288,95.8,3.25,1.63,154,,7.56,23.1,0.00,185,11.3,,,0.46,,4.56,933,0.25,34.2,1.27,1.27,0.71,0.40,0.31,0.20,1.33,3.07,1.80,2.35,0.16,0.00
C0649A,"Massa, brise, assada, (farinha de trigo, manteiga, gema, leite, c/ açúcar, c/ sal),",,Cereais e derivados,0.46,0.70,39.2,40.5,1.15,0.09,,96.4,25.6,1930,464,150,2.29,1.34,75.5,,31.0,15.5,0.62,71.0,6.29,,,0.03,0.70,4.07,284,0.17,21.0,364,368,0.15,0.00,0.00,0.11,0.54,7.87,0.82,18.1,1.03,0.00
C1044B,"Farofa molhada, s/ sal, (farinha de mandioca (aipim, macaxeira), farinha de milho, tomate, pimentão, cenoura, ovo cozido, azeitona, cebola, suco de limão, salsinha, cebolinha, pimenta-do-reino, suco de limão, s/ azeite de oliva, c/ sal),",,Vegetais e derivados,1.69,0.00,23.5,26.2,0.93,0.09,,75.2,31.6,826,197,60.4,1.91,2.64,61.4,,9.12,16.8,0.01,169,3.80,,,0.06,0.00,3.96,143,0.08,60.0,66.4,109,0.19,0.17,17.3,0.37,0.46,5.71,1.05,1.70,0.00,0.00
C0167B,"Berinjela, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, s/ sal, Solanum melongena L.,",,Vegetais e derivados,1.21,0.00,9.92,13.9,0.79,0.13,,43.4,24.5,555,133,30.3,1.22,3.95,64.8,,7.82,26.8,0.08,298,3.87,,,0.11,0.00,6.17,53.4,0.07,73.7,31.2,45.3,0.10,0.01,3.49,0.21,0.49,1.99,4.15,1.39,0.04,0.00
C0138E,"Peixe, água salgada, cação, posta, assado/grelhado, s/ óleo, s/ sal, Carcharhinus spp.,",,Pescados e Frutos do mar,0.55,0.00,2.43,2.43,1.36,0.18,,39.9,11.1,456,107,2.47,0.25,0.00,238,,0.87,24.9,,370,22.5,,,,0.00,40.6,218,0.04,72.8,5.96,5.96,1.38,,0.00,0.10,0.45,0.11,0.22,0.11,,0.00
C0215C,"Suco natural, jabuticaba, s/ açúcar,",,Frutas e derivados,,0.00,4.39,5.04,0.37,0.02,,0.00,2.90,88,21,,0.03,0.65,5.06,,0.15,6.18,,45.1,0.12,,,,0.00,0.00,0.00,0.02,94.3,,,0.00,,24.7,,0.10,,,,,0.00
C0405A,"Trigo para quibe, cozido, s/ sal, Triticum spp.,",,Cereais e derivados,0.01,0.00,14.1,18.6,0.34,0.08,,0.00,10.00,337,80,18.0,0.96,4.50,40.0,,0.24,32.0,1.00,68.0,3.08,,,0.03,0.00,,5.00,0.57,77.8,0.00,0.00,0.00,0.08,0.00,0.00,0.57,0.03,0.10,0.04,,0.00
C0706F,"Carne, porco, pernil, grelhada/assada, s/ óleo, c/ sal, Sus ssp,",,Carnes e derivados,0.45,0.00,0.00,0.00,1.89,0.09,,109,17.6,1054,252,8.01,1.25,0.00,245,,13.8,27.2,6.54,393,32.0,,,0.09,0.45,12.3,241,0.77,49.0,,,0.68,,0.00,0.36,3.24,6.37,1.89,4.78,0.02,0.00
C0422A,"Esfirra, carne, caseira, assada, (farinha de trigo, água, leite, ovo, margarina, suco de limão, carne moída - acém, c/ açúcar, c/ óleo e cebola, c/ sal),",,Cereais e derivados,0.41,1.00,38.3,39.7,1.92,0.12,,46.9,22.3,1166,276,102,3.78,1.40,150,,6.25,24.3,2.08,223,16.0,,,0.12,1.00,5.85,438,0.18,35.4,16.5,16.6,1.33,0.01,0.50,0.13,3.43,1.99,1.41,2.33,0.13,0.00
C1189B,"Salada, alface, c/ rúcula e pepino, c/ azeite de oliva, c/ sal,",,Vegetais e derivados,0.58,0.32,0.60,2.16,0.93,0.04,0.00,,40.9,148,36,28.6,0.48,1.55,20.1,,2.79,13.1,0.38,213,1.29,,,0.04,0.00,0.16,130,0.04,93.0,112,225,0.00,,20.7,0.00,0.20,1.96,0.35,0.47,0.00,0.00
